timestamp,logs,magic_logs,yew_logs,maple_logs,willow_logs,oak_logs
1646686800,10083,8501,55941,55716,20655,5974
1647460800,4784,42637,48868,235378,16570,18757
1647892800,2740,65387,62756,108354,12655,4106
1647979200,6324,40841,58380,33898,9447,12878
1648065600,6490,29345,78520,66990,10376,16192
1648152000,2070,57827,53164,51028,13444,7293
1648238400,9549,37756,12573,87047,25505,20
1648324800,1016,13673,48995,101727,14887,14068
1648411200,15417,56433,57427,59411,13356,4963
1648497600,33532,42894,51892,63427,35259,14262
1648584000,2608,41662,45558,113958,15790,4743
1648670400,6880,35129,137356,165493,4049,24663
1648756800,4948,82021,119360,62612,28468,4353
1648843200,4995,31260,66117,162271,21530,9861
1648929600,14655,12951,42954,135171,29236,14267
1649016000,4905,48533,81224,418075,19535,5768
1649102400,8468,2179,102679,99412,9547,8609
1649188800,7413,49659,90375,114178,25405,2719
1649275200,29067,70247,58745,216346,11627,26282
1649361600,17910,29693,55327,152489,21196,6134
1649448000,13135,45736,76097,108106,14014,9569
1649620800,6892,62676,67658,68090,13237,24603
1649707200,1700,65136,131140,107876,29678,2389
1649793600,22105,19779,57685,45258,8983,12854
1649880000,2386,24031,59486,57705,17350,1380
1649966400,7393,6328,47969,95082,7975,13763
1650052800,3349,13092,41955,47225,11775,39136
1650139200,38827,69502,56628,83194,45585,10139
1650225600,6310,29366,22011,46085,14904,19361
1650312000,6221,26034,61685,117339,11518,12828
1650398400,2650,18880,99677,76524,15662,17662
1650571200,3638,35806,81129,73404,17147,2637
1650657600,5177,32971,70011,79657,16748,3344
1650744000,2843,38071,83596,181931,26948,3072
1650830400,43133,60947,77145,288660,41655,16640
1650916800,5321,51233,89868,85758,14908,18586
1651003200,6042,33242,55532,147956,10505,7629
1651089600,9133,47359,85680,42420,12090,8080
1651176000,5135,23740,28616,36520,5336,21255
1651327200,1279,25857,46420,106048,22601,31167
1651348800,4775,88891,18550,144835,17655,126348
1651435200,7840,20335,153304,150579,16960,22863
1651582800,14248,18851,37988,96170,16707,6737
1651608000,9497,23431,72366,292837,21616,38425
1651694400,5996,17023,22296,97269,25920,12504
1651780800,30672,13702,122214,53742,34724,18409
1651867200,7872,10041,40128,81194,13138,6626
1652040000,11968,32604,27394,90806,12141,47798
1652126400,7242,44430,59177,101127,22449,10304
1652212800,16785,32800,131127,136553,19103,2574
1652299200,4056,64778,73628,17484,27731,13814
1652385600,17500,29247,60142,69183,14592,36185
1652472000,18963,24724,38001,131817,25768,8005
1652558400,7861,34687,92869,67349,11688,3278
1652644800,4863,28088,21922,63771,6528,19538
1652731200,23355,35794,159766,70414,16926,16709
1652817600,17062,35117,81460,245030,11870,9930
1652904000,12063,31979,23027,68226,17698,14829
1652990400,5167,30119,43595,63712,13357,8706
1653076800,813,53525,55160,19561,32476,9859
1653595200,3149,58122,25192,505211,6605,5503
1653681600,2129,19743,21034,181367,17473,11430
1653768000,3912,34625,56948,85928,3793,13410
1653940800,38001,32450,32694,93233,29733,7229
1654027200,4451,36721,100820,72623,37694,6682
1654113600,2667,23570,63206,62583,23291,62476
1654372800,4946,16452,82336,208071,16201,10678
1655150400,10669,9010,84236,137691,24807,31005
1655409600,5359,79194,75289,82555,12698,12359
1655496000,5398,34710,65111,262000,13607,17244
1655841600,9666,25702,73444,50345,10385,10403
1656014400,7127,64319,61439,133378,14335,7067
1656446400,790,30651,115986,74438,19056,3511
