timestamp,logs,magic_logs,yew_logs,maple_logs,willow_logs,oak_logs
1651582800,46,1045,201,10,23,73
1651608000,38,1053,197,10,24,75
1651694400,30,1054,199,10,22,75
1651780800,35,1048,201,10,20,75
1651867200,43,1053,201,10,21,76
1652040000,40,1009,192,7,14,76
1652126400,45,1024,195,7,21,75
1652212800,46,1032,193,8,20,75
1652299200,45,1048,194,10,20,75
1652385600,45,1038,196,10,20,73
1652472000,41,1031,196,10,20,75
1652558400,43,1026,195,10,22,75
1652644800,39,1017,197,10,22,76
1652731200,39,1044,196,10,21,75
1652817600,36,1044,197,10,21,76
1652904000,39,1052,196,10,20,68
1652990400,39,1043,195,10,20,67
1653076800,38,1029,198,10,20,67
1653595200,42,1010,196,9,21,67
1653681600,41,999,195,9,21,71
1653768000,35,991,194,9,22,78
1653940800,41,1000,194,9,22,68
1654027200,42,1010,190,9,22,68
1654113600,39,996,192,9,22,66
1654372800,41,1005,191,8,21,63
1655150400,42,1014,194,9,23,66
1655409600,42,1027,194,8,23,64
1655496000,45,1033,193,8,25,65
1655841600,46,1031,196,8,26,61
1656014400,44,1018,198,8,27,61
1656446400,44,1040,198,8,29,72
1656532800,44,1047,198,9,31,69
1656964800,49,1040,203,8,34,77
1657051200,50,1058,202,8,34,78
1657137600,51,1069,200,8,33,77
1657224000,50,1050,202,8,34,77
1657310400,50,1039,203,8,34,84
1661544000,55,973,192,7,28,56
1661983200,63,951,175,7,29,56
1662062400,68,953,170,7,29,51
1662494400,67,981,174,7,26,50
1662926400,64,1012,179,7,28,54
1663012800,65,1048,180,7,27,49
1663099200,64,1046,182,7,27,46
1663185600,66,1068,180,7,26,47
1663272000,120,1058,188,7,26,50
1663358400,76,1039,186,7,27,52
1663444800,75,1036,183,7,26,55
1663531200,78,1031,185,7,27,50
1663617600,76,1053,186,7,27,57
1663704000,82,1001,192,7,26,55
1663790400,77,1021,191,7,25,53
1663876800,80,1013,195,7,25,47
1664308800,67,1070,198,7,25,55
1664395200,68,1065,190,7,24,50
1664481600,63,1076,193,7,24,52
1664568000,52,1054,195,7,24,57
1664654400,53,1045,192,7,24,51
1664913600,64,1054,197,7,29,55
1665000000,166,1056,202,7,31,57
1665086400,81,1057,213,7,42,56
1665518400,91,1046,211,7,30,55
1665604800,84,1044,211,7,30,57
1665691200,75,1053,207,7,30,55
1665777600,65,1059,207,7,30,58
1665864000,59,1042,199,7,29,60
1665950400,65,1044,201,7,29,57
1666036800,69,1049,205,8,30,58
1666130400,66,1052,203,7,29,54
1666296000,72,1061,205,7,29,52
1666468800,53,1066,208,7,28,55
1666555200,75,1061,211,7,30,54
1666641600,71,1067,207,7,30,53
