timestamp,fire_rune,water_rune,air_rune,earth_rune,mind_rune,body_rune,death_rune,nature_rune,chaos_rune,law_rune,cosmic_rune,blood_rune,soul_rune
1666612800,5,5,5,5,3,5,153,134,80,123,125,235,178
1666699200,5,4,4,4,3,5,153,133,80,123,124,233,180
1666785600,5,4,4,4,3,5,153,133,80,123,124,233,180
1666872000,5,5,5,5,3,5,148,131,80,122,119,222,183
1666958400,5,5,5,5,3,5,148,131,80,122,117,218,185
1667044800,5,5,5,4,3,5,149,130,80,122,115,219,189
1667131200,5,5,5,4,3,5,149,130,80,122,115,219,189
1667217600,5,5,4,5,3,5,154,126,82,123,115,225,193
1667304000,5,5,5,5,3,5,154,122,84,124,113,223,196
1667390400,5,5,5,5,3,5,154,115,86,125,112,222,192
1667476800,5,5,5,5,3,5,154,114,87,124,111,220,193
1667563200,5,5,5,5,3,5,154,114,87,124,111,220,193
1667649600,5,5,5,5,3,5,156,122,91,125,113,217,189
1667736000,5,5,5,4,2,4,157,128,91,126,115,219,187
1667822400,5,5,5,4,2,4,157,128,91,126,115,219,187
1667908800,5,5,5,5,3,5,161,132,92,132,115,222,189
1667995200,5,5,5,5,3,5,161,132,92,132,115,222,189
1668081600,5,5,5,5,3,5,170,135,89,134,113,223,186
1668168000,5,5,5,5,3,5,170,135,89,134,113,223,186
1668254400,5,5,5,5,2,5,172,136,87,137,112,225,180
1668340800,5,5,5,5,3,5,174,137,87,136,111,224,181
1668427200,6,5,5,5,2,5,175,137,86,135,111,226,181
1668513600,5,5,5,4,2,5,176,137,87,135,112,224,181
1668600000,5,5,5,4,2,5,176,137,87,135,112,224,181
1668686400,6,5,5,5,2,5,178,135,85,135,113,222,181
1668772800,6,5,5,4,2,5,178,134,85,135,113,222,186
1668859200,6,5,5,4,2,5,178,134,85,135,113,222,186
1668945600,6,5,5,5,2,6,178,132,85,135,115,221,187
1669032000,6,5,5,5,2,5,178,131,86,134,115,216,186
1669204800,5,4,5,4,2,5,176,132,88,134,115,216,187
1669291200,6,5,5,4,2,5,173,131,87,134,114,216,184
1669377600,6,5,5,4,2,5,173,131,87,134,114,216,184
1669464000,6,5,5,4,2,5,167,128,86,133,113,219,188
1669550400,6,5,6,4,3,5,163,126,86,133,113,219,188
1669636800,5,5,5,5,3,5,165,126,86,133,111,216,187
1669723200,5,5,5,5,3,5,165,126,86,133,111,216,187
1669809600,6,5,5,5,3,6,168,125,85,133,109,217,186
1669896000,6,5,5,5,2,6,171,123,83,133,107,212,187
1669982400,6,5,5,4,3,6,170,124,83,132,107,211,192
1670068800,6,6,6,5,3,6,170,122,82,132,110,212,193
1670155200,6,5,5,5,3,6,169,122,82,132,112,212,193
1670241600,6,5,5,5,3,6,169,122,82,132,112,212,193
1670328000,6,5,6,5,2,5,167,121,82,131,115,208,197
1670414400,6,5,6,5,2,5,167,121,82,131,115,208,197
1670500800,6,5,6,5,2,5,167,118,82,130,117,206,197
1670587200,6,5,6,5,2,5,167,118,82,130,117,206,197
1670673600,6,5,5,4,2,6,167,119,82,129,117,205,197
1670760000,6,6,6,5,3,5,168,119,84,128,122,201,198
1670846400,6,6,6,5,3,5,167,119,84,127,123,199,197
1670932800,6,6,6,5,3,6,167,122,84,127,124,202,197
1671019200,6,6,6,5,3,6,167,122,84,127,124,202,197
1671105600,6,5,5,5,2,6,166,121,83,127,127,204,196
1671192000,6,5,5,5,2,6,166,121,83,127,127,204,196
1671278400,6,5,5,5,2,6,160,121,82,127,131,196,195
1671364800,6,5,5,5,2,6,160,121,82,127,131,196,195
1671451200,6,5,5,5,2,6,157,119,81,127,130,193,193
1671537600,6,5,6,5,2,6,157,119,80,127,128,193,193
1671624000,6,5,6,5,2,6,157,119,78,126,124,196,196
1671710400,6,5,5,5,2,6,157,118,75,125,115,200,202
1671796800,6,5,5,5,2,6,157,118,75,125,115,200,202
1671883200,6,5,5,5,2,4,153,116,74,121,110,201,202
1671969600,6,5,5,5,3,5,151,116,74,119,112,202,204
1672056000,6,5,5,5,3,5,151,116,74,119,112,202,204
1672142400,6,5,6,5,2,6,152,117,75,123,122,203,212
