timestamp,copper_ore,tin_ore,iron_ore,silver_ore,gold_ore,mithril_ore,adamantite_ore,runite_ore
1647460800,110,79,53,48,272,114,1072,11076
1647892800,106,75,54,47,264,110,1097,11039
1647979200,99,81,54,46,268,106,1100,11037
1648065600,153,83,53,46,262,107,1071,11049
1648152000,102,80,54,50,270,111,1057,11071
1648238400,106,80,53,47,279,108,1055,11072
1648324800,100,82,54,49,275,101,1056,11043
1648411200,94,77,53,37,271,93,1050,11127
1648497600,68,82,55,49,269,104,1050,11113
1648584000,77,80,59,49,281,105,1086,11210
1648670400,95,78,62,40,273,106,1113,11231
1648756800,93,66,59,29,272,106,1096,11153
1648843200,90,71,61,37,275,107,1063,11026
1648929600,75,42,60,39,281,106,1077,11093
1649016000,78,64,59,42,280,106,1071,11071
1649102400,68,57,62,45,283,106,1073,11092
1649188800,73,60,63,48,283,108,1065,11203
1649275200,69,58,61,49,282,113,1045,11108
1649361600,67,60,61,49,285,112,1054,11106
1649448000,70,65,61,50,280,113,1052,11089
1649620800,69,70,65,49,270,113,1070,11038
1649707200,68,70,66,50,272,114,1080,11027
1649793600,69,70,66,49,271,114,1072,11031
1649880000,74,70,66,49,274,114,1067,11051
1649966400,74,73,61,49,286,114,1051,11022
1650052800,77,73,62,49,292,114,1055,11028
1650139200,85,80,63,49,288,114,1052,10996
1650225600,78,72,63,49,290,115,1050,11003
1650312000,67,78,63,49,297,115,1056,11036
1650398400,77,79,63,49,301,115,1217,11014
1650571200,72,77,62,51,284,116,1057,11055
1650657600,78,76,62,51,263,117,1058,11061
1650744000,77,77,63,48,271,116,1047,11043
1650830400,80,77,65,49,273,116,1045,11064
1650916800,76,80,65,49,288,116,1043,11067
1651003200,79,78,70,50,298,116,1045,11080
1651089600,79,76,72,52,292,116,1039,11101
1651176000,82,77,71,51,302,117,1046,11074
1651327200,79,74,70,48,282,118,1031,11056
1651348800,79,74,72,47,280,118,1034,11077
1651435200,78,75,71,50,283,118,1040,11122
1651582800,81,79,80,55,278,123,1064,11091
1651608000,82,79,83,57,282,122,1059,11087
1651694400,236,79,84,54,287,124,1066,11035
1651780800,135,80,86,55,286,124,1062,11043
1651867200,120,77,86,56,292,126,1051,11045
1652040000,105,77,88,55,300,125,1057,10958
1652126400,85,78,80,49,299,119,1070,10971
1652212800,80,79,80,53,301,119,1112,11049
1652299200,86,70,83,49,298,118,1160,11005
1652385600,80,74,86,47,304,120,1119,11045
1652472000,80,70,91,48,304,119,1106,10961
1652558400,79,70,91,50,297,124,1106,11019
1652644800,80,72,89,51,296,125,1098,10909
1652731200,80,72,89,51,298,125,1084,10945
1652817600,80,72,90,51,299,125,1081,10984
1652904000,79,70,89,51,302,124,1077,10880
1652990400,80,69,90,51,299,125,1075,10995
1653076800,80,65,91,51,302,125,1128,10944
1653595200,74,66,94,53,321,129,1095,10950
1653681600,76,67,93,53,331,129,1098,11033
1653768000,76,65,95,54,324,129,1121,10976
1653940800,74,66,94,52,342,102,1095,11002
1654027200,75,67,95,51,345,109,1073,11080
1654113600,75,65,95,36,351,113,1088,11080
1654372800,75,69,97,49,334,118,1147,10956
1655150400,86,80,96,49,272,121,1087,11031
1655409600,76,78,96,52,267,122,1114,11047
1655496000,75,78,118,51,270,121,1165,11011
1655841600,70,67,125,50,258,123,1211,11075
1656014400,54,71,122,52,252,124,1170,11132
1656446400,72,70,132,51,247,121,1158,11177
1656532800,71,71,115,50,263,123,1082,11138
1656964800,68,64,126,50,245,124,1084,11106
1657051200,69,65,123,50,247,124,1168,11072
1657137600,51,64,131,52,240,123,1099,11083
1657224000,68,33,98,52,242,125,1096,11091
1657310400,67,63,120,52,239,126,1087,11148
1661544000,56,51,126,37,181,106,1036,11048
1661983200,50,47,130,46,176,111,1105,11141
1662062400,52,52,120,45,176,115,1063,11113
1662494400,52,56,102,40,187,101,1104,11134
1662926400,66,61,103,49,199,110,1088,11167
1663012800,63,63,98,49,193,110,1078,11135
1663099200,65,67,91,49,203,114,1087,11161
1663185600,68,68,92,49,206,114,1119,11166
1663272000,68,68,90,49,206,116,1151,11133
1663358400,65,63,92,43,209,116,1129,11176
1663444800,67,69,112,47,203,116,1150,11124
1663531200,61,63,113,46,192,119,1129,11155
1663617600,67,68,110,49,188,120,1147,11156
1663704000,68,65,124,51,198,123,1164,11175
1663790400,71,58,130,51,195,122,1176,11201
1663876800,71,67,131,53,201,125,1167,11209
1664308800,67,63,119,58,202,130,1192,11241
1664395200,66,59,116,57,200,132,1161,11211
1664481600,62,62,115,57,202,130,1121,11273
1664568000,56,64,121,57,208,119,1102,11295
1664654400,62,63,117,55,210,126,1122,11196
1664913600,59,61,144,53,210,128,1138,11205
1665000000,60,60,161,50,207,127,1206,11208
1665086400,60,60,157,55,206,132,1198,11231
1665518400,56,52,146,55,215,129,1146,11258
1665604800,56,51,137,50,206,124,1152,11290
1665691200,58,53,141,57,207,122,1158,11248
1665777600,56,51,133,55,205,128,1174,11282
