timestamp,marigold_seed,rosemary_seed,nasturtium_seed,woad_seed,limpwurt_seed,redberry_seed,cadavaberry_seed,dwellberry_seed,jangerberry_seed,whiteberry_seed,poison_ivy_seed,cactus_seed,belladonna_seed,mushroom_spore,apple_tree_seed,banana_tree_seed,orange_tree_seed,curry_tree_seed,pineapple_seed,papaya_tree_seed,palm_tree_seed,calquat_tree_seed,guam_seed,marrentill_seed,tarromin_seed,harralander_seed,ranarr_seed,toadflax_seed,irit_seed,avantoe_seed,kwuarm_seed,snapdragon_seed,cadantine_seed,lantadyme_seed,dwarf_weed_seed,torstol_seed,barley_seed,jute_seed,hammerstone_seed,asgarnian_seed,yanillian_seed,krandorian_seed,wildblood_seed,acorn,willow_seed,maple_seed,yew_seed,magic_seed,potato_seed,onion_seed,sweetcorn_seed,watermelon_seed,tomato_seed,strawberry_seed,cabbage_seed
1617912000,2,,1,6,22,2,4,2,2,4,12,28,105,124,5,7,7,6,29,1545,28433,41,13,11,10,68,44074,1615,43,632,183,61093,446,574,190,56817,1,3,7,5,7,7,153,10,1117,20006,56662,129046,,,3,30,2,3,2
1617998400,2,1,1,4,31,5,4,5,2,3,3,47,72,32,98,6,3,8,36,1489,27464,35,12,11,14,27,44816,1399,49,559,136,59956,405,404,206,54760,3,4,2,2,6,8,151,13,1121,20026,54466,127017,,,5,18,3,2,3
1618088400,4,,3,7,26,5,2,4,2,4,13,73,123,88,2,3,2,14,25,1359,27052,47,7,17,9,65,44959,1307,43,616,198,58046,228,469,157,52446,4,4,3,4,7,8,154,28,1136,19999,51612,124704,,,3,19,,8,
1618171200,4,2,2,5,32,15,3,5,1,18,3,77,168,59,4,6,,3,42,1191,27787,46,3,4,17,,45430,1528,16,596,228,58670,439,416,168,52645,2,2,3,3,8,8,158,26,803,19774,52101,126277,,,4,21,7,3,7
1618261200,2,,,5,28,5,4,3,2,7,32,128,138,53,2,6,2,4,45,1403,27638,35,9,10,11,59,48002,1547,49,581,190,58486,533,633,215,53058,6,4,3,3,9,9,173,20,1044,20148,52549,130864,,,,22,2,3,
1618347600,,3,,5,,,4,,,15,8,79,110,25,4,6,2,3,39,1340,26658,45,7,,2,63,47086,1234,48,521,123,58999,520,629,236,53476,,,,,,,50,29,1041,19979,54024,129451,,,,23,,5,
1618430400,2,3,2,6,32,2,2,3,2,3,22,71,139,121,6,,12,10,44,1421,27802,64,7,10,12,56,49657,1468,53,438,220,59344,441,607,258,53191,3,3,2,,8,5,146,30,1089,21293,54980,130282,,,3,15,2,4,
1618516800,2,3,,5,22,2,5,4,4,9,30,81,230,211,2,3,4,6,62,1453,28042,81,7,16,5,61,48572,1519,41,733,222,59630,543,630,247,53044,3,3,2,,4,5,145,10,900,19247,54817,130847,,1,2,23,,5,
1618603200,2,17,1,4,19,2,,,3,5,29,66,88,59,4,14,3,8,68,1442,27262,81,10,15,11,64,43434,1529,59,493,214,59991,497,786,224,55832,2,4,2,3,4,5,151,35,970,19336,54477,129365,,1,2,23,2,5,
1618689600,1,1,,30,10,0,,1,2,2,2,89,116,26,3,9,9,8,57,1378,26065,114,,,,21,40655,1583,42,402,168,59242,487,286,206,54419,4,5,6,3,5,15,172,20,989,18387,52505,125794,,1,,22,1,1,3
1618776000,3,1,,7,25,,5,7,11,2,9,64,105,27,8,6,6,11,88,1185,26884,35,,2,2,5,41563,1487,52,588,317,58998,400,627,200,54095,2,5,2,2,5,3,116,27,872,19074,51865,126627,1,1,3,19,2,2,
1618862400,2,2,,,37,2,4,3,,2,20,14,75,58,6,3,5,7,49,1209,25798,64,33,2,4,48,43159,1437,53,610,154,60126,395,669,201,53123,3,3,2,1,5,8,140,22,899,19255,51995,123007,,1,3,20,2,3,2
1618948800,3,2,1,5,18,2,5,3,2,2,30,65,90,30,8,5,3,5,20,1055,25747,83,6,6,9,10,43476,1463,39,583,128,58810,427,501,160,52585,3,3,2,,8,4,132,28,789,19067,51481,119946,,,3,8,2,3,
1619035200,2,3,1,5,16,4,4,3,4,4,10,72,53,29,2,2,,5,,1003,26022,86,10,11,14,30,45705,1439,40,545,152,58969,385,616,149,50792,4,4,2,3,,7,145,34,894,17996,51460,118467,1,1,3,5,,3,
1619121600,2,43,,2,20,5,3,4,3,11,42,95,107,130,7,,2,6,55,1050,25156,112,7,10,5,4,44577,1427,33,465,153,57465,505,629,155,51943,2,3,2,4,3,3,128,29,921,18989,52311,120002,,1,2,8,,5,
1619208000,2,2,1,9,12,4,3,4,1,9,32,50,122,144,5,2,5,5,70,850,25237,82,9,4,6,4,43749,1264,15,457,150,56997,577,433,154,51125,3,3,2,3,6,3,147,27,972,19271,51749,119399,1,1,3,6,,6,
1619316000,2,1,,5,28,2,2,,3,,5,37,55,95,2,3,5,5,71,1020,24491,92,10,6,8,40,43773,1322,41,496,128,55751,525,451,160,49972,9,2,2,3,4,3,153,24,854,19167,50391,119853,,1,3,21,2,4,1
1619380800,4,3,,9,29,2,5,3,8,29,2,14,10,29,5,7,10,5,101,827,23542,105,23,6,7,3,43594,1280,5,440,165,55769,680,613,146,49167,5,5,5,4,4,4,199,32,850,19188,49122,118319,,,2,14,2,5,
1619467200,2,,3,26,8,2,5,8,1,19,25,107,35,91,2,6,2,1,112,861,23650,99,7,6,5,3,44240,1241,10,310,114,56736,509,424,125,49145,3,3,2,4,2,7,144,25,779,18653,50252,119155,1,1,3,20,3,3,1
1619553600,1,,1,6,10,2,4,6,3,8,8,35,55,81,3,6,10,4,93,915,23917,122,3,4,17,25,43945,1162,42,375,162,57814,530,609,246,49269,2,,2,3,5,6,110,38,853,18633,50677,121214,1,,4,23,,3,
1619640000,2,,1,2,18,2,10,8,3,18,17,103,98,131,6,8,6,4,91,848,23631,68,9,3,12,25,44313,1144,30,390,142,58305,467,358,190,51111,3,2,9,2,4,7,109,26,852,19505,50078,119334,1,1,3,6,2,2,
1619726400,2,,,5,17,2,3,8,3,4,22,37,119,90,5,6,5,3,71,888,23671,72,8,5,6,9,45374,1091,29,391,158,58974,561,587,193,54440,4,4,2,3,6,7,140,31,534,19019,49896,117267,2,1,,5,,8,
1619823600,2,1,1,5,14,3,4,5,2,3,30,73,4,95,2,10,1,4,125,898,23659,125,12,6,12,10,45095,1150,36,412,94,57389,361,451,191,53003,3,6,2,2,3,6,128,33,912,18327,50216,118651,,1,2,10,2,4,1
1619899200,2,1,,3,13,3,5,3,8,10,30,95,103,100,6,10,8,6,107,557,22416,82,6,14,5,10,44744,1002,47,337,126,56171,442,410,175,52306,2,2,9,2,,5,109,30,947,18342,49522,117803,,1,4,21,3,6,
1619989200,3,1,1,5,23,2,5,4,2,2,9,13,51,96,2,2,7,2,76,644,22370,118,7,4,9,38,44806,1069,34,420,1,55767,441,390,120,51984,6,2,5,4,2,6,81,36,890,18886,49653,119272,,1,4,16,2,3,2
1620072000,2,1,,2,12,,1,3,2,4,6,14,,,4,10,8,7,161,623,23335,76,5,4,5,18,44358,1028,45,400,90,55667,498,322,108,51508,6,2,2,6,4,6,115,34,987,18445,50219,115820,,,,5,2,2,
1620158400,2,2,1,1,19,2,4,3,6,14,23,10,50,192,3,9,9,5,90,483,23560,107,2,5,11,35,43961,946,53,363,101,55923,367,271,75,50718,3,2,2,3,3,4,115,37,999,19127,50111,112549,,1,2,16,2,4,
1620244800,,1,1,7,9,5,3,6,6,,2,11,132,270,3,5,12,2,86,576,23785,73,5,4,11,35,43328,891,5,358,97,55665,367,193,91,49689,3,2,2,3,9,10,90,33,970,18730,51542,110977,,1,3,17,3,4,
1620331200,2,2,,9,29,2,2,4,3,3,13,50,57,71,3,9,7,2,148,739,24518,116,5,5,7,6,42455,915,64,322,58,55259,247,152,85,52027,3,4,2,3,6,8,93,26,1038,19200,50388,111547,,1,3,9,,4,
1620417600,3,1,1,2,21,3,2,7,2,11,17,128,169,187,2,7,8,6,150,451,24016,61,5,6,7,34,40513,839,30,153,69,53342,266,200,75,49879,3,3,2,3,4,6,63,38,718,19270,48865,109490,,1,4,8,2,5,
1620504000,4,2,,4,19,2,2,5,3,12,7,65,50,168,3,26,6,4,67,144,22913,62,8,2,2,21,39700,837,56,257,65,52267,246,123,30,48847,2,3,1,,6,7,85,31,840,18171,48731,108392,,1,3,7,6,,
1620590400,,2,1,12,10,3,5,3,6,13,20,106,109,165,6,8,7,3,9,297,22705,58,2,2,9,20,38009,677,37,291,65,51964,245,280,67,47501,2,2,,,3,4,62,20,831,18503,46680,107746,,1,3,2,3,3,
1620676800,2,1,2,3,13,3,5,3,2,4,22,33,50,263,4,7,6,5,20,431,22686,37,2,2,2,8,36894,806,37,160,47,51962,239,191,18,47429,,,2,2,9,3,65,27,767,18455,48702,107628,,,2,2,2,1,
1620763200,2,,2,,19,2,2,2,5,2,2,69,93,202,4,3,7,3,30,538,23392,104,3,2,2,19,38338,729,41,210,66,52902,236,237,30,48388,2,,2,2,4,4,83,5,698,18510,49721,111592,1,1,2,6,,3,
1620849600,4,2,2,2,26,2,2,3,2,1,11,75,102,139,3,,,2,50,504,24920,115,,2,4,20,39268,784,40,223,25,53352,285,202,18,51402,,,2,2,4,6,50,12,734,19000,48188,112739,,1,4,20,3,3,
1620936000,2,3,1,2,17,,4,,2,5,21,37,136,93,5,,0,5,74,576,25604,96,3,2,12,28,39747,841,50,205,11,55080,294,200,21,51477,,,,2,5,,65,20,641,18180,48093,116180,,1,,23,,1,3
1621022400,,1,,2,4,,4,8,2,3,22,71,72,79,5,1,,5,72,592,26173,82,2,,12,30,40237,922,38,278,37,54280,369,311,49,51827,,,4,2,3,2,51,27,617,18292,47429,115631,,1,2,4,,,
1621108800,2,1,,,5,,,3,2,3,22,13,50,40,6,3,5,6,26,613,25906,87,2,,2,12,39326,702,30,90,25,52593,30,40,39,51205,5,,2,2,5,3,32,28,752,18009,45882,113836,,1,2,9,,3,
1621195200,2,1,1,7,9,2,2,8,2,18,22,25,161,165,4,3,4,1,75,605,23069,106,5,4,12,29,38989,789,43,209,35,52622,219,277,47,49670,1,2,2,2,6,5,57,29,811,17564,44791,112367,,1,2,16,2,2,
1621281600,2,1,1,7,9,2,2,8,2,18,22,25,161,165,4,3,4,1,75,605,23069,106,5,4,12,29,38989,789,43,209,35,52622,219,277,47,49670,1,2,2,2,6,5,57,29,811,17564,44791,112367,,1,2,16,2,2,
1621368000,2,1,,10,14,3,4,3,2,5,24,63,50,50,8,,18,5,19,651,25652,107,3,4,9,10,37593,882,32,231,47,52100,95,295,30,50633,,2,,2,5,5,54,38,782,17620,46521,114327,,1,2,10,,4,1
1621454400,,,1,3,12,,4,4,2,24,23,83,54,227,12,6,5,5,48,688,26001,93,2,4,9,42,36781,854,40,214,45,52765,208,258,52,55346,6,2,2,3,9,6,50,27,720,18088,48761,120757,,1,2,9,2,5,
1621540800,2,1,,9,19,5,3,5,2,5,14,72,100,162,4,3,4,4,59,662,25648,90,5,3,3,21,36870,884,39,263,61,54202,122,503,11,52818,2,2,2,5,7,5,53,38,766,17948,47108,117791,,,2,2,2,3,
1621627200,2,1,2,10,11,5,4,8,3,4,17,89,97,211,4,7,1,8,76,681,26006,114,5,3,10,10,37290,846,39,209,70,54509,306,417,22,51486,2,2,2,2,6,7,50,33,743,18021,48129,122551,,1,3,9,2,3,2
1621713600,2,,2,9,8,4,2,3,4,9,18,78,101,176,4,7,5,4,35,777,26926,103,3,5,10,41,38857,920,42,229,65,54386,123,347,54,50223,2,2,2,3,4,15,50,41,821,18035,48267,123316,,,2,6,2,5,
1621800000,2,1,1,5,11,2,3,3,3,5,4,10,59,81,6,2,5,7,18,713,26518,94,2,2,10,27,39094,904,47,148,94,55512,244,243,75,49674,2,2,2,2,5,7,28,26,794,17932,48013,124230,,2,3,2,2,1,
1621886400,3,2,1,7,10,2,2,3,16,,22,30,54,119,4,4,4,2,37,707,27488,98,2,2,8,32,39315,1010,31,141,69,55299,336,638,68,49204,2,2,2,2,15,9,55,33,795,17702,47425,125589,,,2,3,2,5,
1621972800,3,2,2,8,14,2,2,3,6,6,18,29,59,30,3,1,4,4,39,790,26615,98,4,2,11,12,39755,1113,33,134,67,56335,216,467,68,51246,2,2,2,1,16,12,51,12,829,17879,48629,126508,,1,3,4,3,2,2
1622059200,2,1,1,7,3,2,2,3,7,6,16,46,42,69,4,7,3,4,47,778,27480,103,8,3,2,6,39707,986,5,91,91,58275,274,471,32,51823,2,2,2,,8,7,51,38,615,17913,49694,127250,1,1,3,7,2,2,
1622145600,2,1,1,6,17,3,4,3,9,8,26,20,70,54,7,2,2,11,49,869,27267,107,2,4,10,11,39383,1206,36,182,67,58474,398,469,47,52524,2,2,2,2,7,6,55,39,723,18054,48116,128028,,1,3,17,1,3,2
1622232000,2,2,1,3,16,2,2,3,4,10,16,91,79,31,9,6,5,4,48,857,27255,123,3,5,9,11,40118,1179,30,181,68,59043,404,202,98,51901,2,2,2,2,14,6,78,40,683,18112,48358,135452,,1,3,18,2,,2
1622318400,,2,,7,12,5,4,3,,3,6,16,91,55,9,5,5,5,42,883,27856,137,3,4,10,9,40936,1260,41,191,84,61464,558,300,97,52217,2,2,1,2,9,9,67,18,700,18068,47726,134117,,,3,7,3,2,
1622404800,,1,1,1,18,2,3,3,4,6,16,34,94,55,6,5,5,6,36,883,27944,147,2,7,11,11,40782,1295,30,184,57,59151,457,439,108,53870,2,2,2,2,11,2,77,31,671,18369,47427,137193,,1,3,5,2,,
1622491200,,2,2,8,4,2,2,3,2,1,5,12,88,100,6,4,6,5,10,889,27215,144,1,4,5,7,41774,1367,6,147,39,59732,530,319,106,53972,2,2,,2,6,6,11,22,641,18299,47866,136471,,1,4,6,2,4,
1622577600,2,8,2,7,13,3,4,3,2,3,4,99,92,101,7,5,12,5,23,901,28040,159,19,4,8,10,42600,1334,34,253,129,60593,760,375,96,56122,2,2,2,2,16,8,50,5,687,18344,47914,141349,,1,4,22,4,3,
1622664000,2,2,,5,16,2,2,3,8,3,11,59,83,96,8,8,13,6,20,907,29630,147,15,12,9,16,42511,1383,30,178,177,62467,554,350,125,55840,2,2,,2,9,6,57,40,683,17883,48160,142642,,,5,18,2,6,
1622750400,,3,2,10,2,2,3,4,6,31,24,71,106,119,6,5,14,5,30,989,30571,141,3,4,10,18,41909,1206,32,219,38,61683,568,365,183,55243,,1,,,12,8,66,28,694,17210,48506,142190,,,4,15,2,2,1
1622836800,2,2,15,22,14,2,,3,3,5,9,20,98,20,6,5,7,5,38,1036,30290,133,1,4,10,18,41856,1139,30,257,85,60410,1009,269,94,53421,,1,,,8,9,53,26,702,17311,47588,139304,,,,6,2,3,
1622923200,2,3,2,7,12,5,2,3,9,9,16,65,32,52,5,5,10,6,27,1078,32196,189,3,4,9,34,40403,1040,30,151,72,58652,658,350,91,52711,2,2,,,9,7,52,31,706,17675,47588,137442,,,3,5,3,4,
1623009600,2,3,1,6,14,2,,3,,8,,6,14,23,7,5,5,6,42,1101,30849,181,3,4,3,13,38554,1059,5,269,89,58850,1231,256,162,52280,,3,2,2,8,10,51,32,387,16567,45473,129481,,1,,23,1,4,1
1623096000,2,2,2,5,10,,2,3,1,18,29,18,87,131,5,5,12,6,42,1049,28821,178,3,4,7,31,38877,1099,39,252,71,58337,800,279,123,51932,3,2,,2,15,9,50,30,482,16261,44766,123713,,1,3,7,2,3,
1623182400,2,2,2,5,12,2,2,3,2,7,33,25,50,26,8,6,7,6,35,985,27349,170,29,10,10,37,38791,1024,35,309,60,59026,849,378,138,53751,2,,2,,6,6,95,33,532,16523,44802,126264,1,1,2,6,3,4,
1623268800,2,2,,7,20,,,3,2,23,28,69,50,62,6,6,7,6,48,808,28398,133,3,10,10,18,40045,1176,33,279,82,60677,977,225,76,54312,3,2,,,6,10,62,34,416,17491,45692,127697,1,,3,15,2,5,1
1623355200,2,3,2,12,13,,2,3,2,17,8,25,34,30,7,6,10,10,32,802,28630,88,10,9,9,25,40754,1200,35,282,71,61851,785,213,256,54230,3,2,,3,7,8,97,40,548,16958,48029,128578,,,2,14,2,9,
