timestamp,marigold_seed,rosemary_seed,nasturtium_seed,woad_seed,limpwurt_seed,redberry_seed,cadavaberry_seed,dwellberry_seed,jangerberry_seed,whiteberry_seed,poison_ivy_seed,cactus_seed,belladonna_seed,mushroom_spore,apple_tree_seed,banana_tree_seed,orange_tree_seed,curry_tree_seed,pineapple_seed,papaya_tree_seed,palm_tree_seed,calquat_tree_seed,guam_seed,marrentill_seed,tarromin_seed,harralander_seed,ranarr_seed,toadflax_seed,irit_seed,avantoe_seed,kwuarm_seed,snapdragon_seed,cadantine_seed,lantadyme_seed,dwarf_weed_seed,torstol_seed,barley_seed,jute_seed,hammerstone_seed,asgarnian_seed,yanillian_seed,krandorian_seed,wildblood_seed,acorn,willow_seed,maple_seed,yew_seed,magic_seed,potato_seed,onion_seed,sweetcorn_seed,watermelon_seed,tomato_seed,strawberry_seed,cabbage_seed
1617825600,19,1,1,1,34,2,1,1,1,14,14,101,250,57,2,3,6,7,35,1583,29487,38,5,10,11,54,44059,1691,36,466,194,63101,620,575,,54178,2,2,2,2,15,20,180,17,1147,19952,56930,129610,1,1,7,14,1,2,2
1617912000,1,1,1,7,26,2,2,2,2,5,10,196,178,204,2,3,7,8,31,1523,29301,43,9,13,9,92,44455,1607,80,784,186,61334,506,570,288,57397,4,5,14,4,6,4,161,18,1117,20480,56987,129316,1,1,9,44,20,5,12
1617998400,1,2,1,5,34,7,2,1,11,4,9,58,235,62,2,4,5,7,38,1531,28046,44,13,11,13,12,44984,1431,47,533,178,60184,482,583,312,55149,4,7,3,4,13,18,179,18,1093,20189,54874,127336,1,1,1,35,38,5,10
1618088400,8,1,9,,33,,3,,38,14,16,84,113,163,4,5,3,9,29,1402,27302,47,13,12,11,100,44912,1364,39,740,187,58517,238,515,225,52819,5,6,4,3,12,16,163,26,1102,19962,52789,126069,1,1,9,15,2,2,2
1618171200,11,2,10,6,40,100,2,9,2,28,15,90,107,60,5,14,2,8,41,1383,28136,44,13,4,12,1,45959,1511,17,559,260,59140,497,445,163,53462,5,2,4,4,11,6,151,15,1007,19806,52804,127599,1,1,3,15,23,2,15
1618261200,3,1,1,1,25,3,,,17,16,39,245,248,63,3,3,1,5,41,1426,28049,32,4,10,13,49,48340,1592,60,,181,58700,513,669,175,53328,9,6,3,3,11,12,199,23,1034,20467,52584,132242,1,1,1,28,3,1,1
1618347600,2,20,1,5,7,1,2,1,2,30,8,203,100,67,3,5,1,3,40,1424,27161,56,7,4,3,57,47484,1301,80,537,181,59058,517,444,321,53888,1,1,3,1,1,1,111,25,1040,19923,54856,129415,1,1,1,26,1,2,1
1618430400,1,1,27,11,37,3,2,5,8,5,35,133,280,200,8,1,,9,60,1478,28143,175,9,11,12,60,49950,1475,41,647,,59378,481,576,348,53437,4,4,3,2,12,6,161,31,1105,21548,55303,130893,1,1,6,20,1,2,1
1618516800,1,20,1,5,26,,,4,23,5,39,199,238,495,1,4,2,7,80,1565,28337,56,11,11,9,63,48553,1608,41,1737,403,59818,543,619,349,53321,4,3,2,3,6,6,165,15,934,19545,54725,132961,1,1,1,16,1,4,1
1618603200,2,1,1,6,18,1,1,1,3,3,9,88,96,167,2,7,4,8,72,1476,27472,,9,15,14,56,43623,1574,42,566,181,60023,517,918,300,56200,4,5,3,4,6,6,163,43,1011,19338,54486,129835,1,1,1,26,1,2,1
