timestamp,runecrafting,magic,fletching,woodcutting,firemaking,construction,farming,herblore,thieving,mining,smithing
<<<<<<< HEAD
1615924800,49883.97986,48308.09132,98580.59815,52902.17331,58221.12692,32417.33599,53555.09333,26963.26715,47633.7602,32354.08953,55397.50087
1616011200,51993.66614,32651.93463,81451.97735,52943.32278,56236.2045,33530.0785,41584.26732,32411.51724,42970.76296,28277.40317,52254.32212
1616097600,47770.18943,45029.75531,93640.11719,51352.9266,64284.3901,39230.60402,49193.89355,31457.45332,50187.13953,29628.07344,60410.87136
1616184000,45462.9436,35874.82828,60777.34043,47408.73503,39823.39089,36744.06263,46155.95102,19073.14865,45763.21881,28318.83495,43706.87816
1616270400,54011.39302,38005.7909,67386.73065,47153.7959,50010.71264,42428.22018,45413.30062,30225.08555,38864.50152,30140.74244,69725.86965
1616356800,50048.54756,20505.27639,66179.9875,42679.83837,27791.36968,50751.89157,41481.81143,24045.65821,39305.76543,24529.12903,78382.72535
1616443200,49713.71743,27364.65031,85640.94422,52066.42256,62804.82536,44957.77804,42972.35856,45993.70513,47552.39636,28714.71032,94962.13941
1616529600,50574.26821,35316.9608,103016.7391,45062.04252,54843.42323,38393.74694,42443.20531,31694.59491,33381.93131,28522.66505,59736.57216
1616616000,40134.32818,35417.52686,94985.94891,51483.33165,57878.45914,23396.2148,43062.26488,24829.09989,46979.37064,24352.96083,75854.26364
1616702400,43612.61069,34414.50341,106429.5841,49381.47576,39839.3854,22755.82397,42524.62072,21520.65019,41360.43939,21825.88669,62672.10778
1616788800,48079.62411,49952.47615,80031.1706,47240.30316,46870.13407,19640.68332,44462.77126,22713.62747,34456.3006,29114.08904,70724.81429
1616875200,42618.27518,52471.18812,110760.673,40480.31458,55274.04521,30203.42416,50728.70889,28811.14467,50375.10013,26707.13882,66932.28956
1616961600,42775.18875,56357.31587,90953.31891,47511.23732,70182.05474,33164.3787,55408.04355,32318.33553,52750.05516,27997.475,59282.62357
1617048000,41013.65487,37660.07981,95031.21239,50445.88523,44085.31942,23610.65031,40746.46033,28010.33628,43723.85251,25436.01412,61214.01018
1617134400,44827.55788,38373.76667,105598.0349,49632.70986,48583.78261,27735.71056,43883.95234,30448.75902,46314.35864,35378.58389,60126.10595
1617220800,44109.44888,48256.50321,143861.7204,45731.26284,41174.03416,25708.6683,46077.00254,25919.83473,40996.11888,31152.07644,61140.39798
1617307200,47576.82344,42854.55511,81325.15823,48029.1321,35657.20293,22882.75184,42917.31574,23968.04077,37331.56239,26409.54478,72625.14751
1617393600,39096.59297,46972.33063,76340.96467,51413.03004,54409.88274,28251.9527,43463.60477,27657.30431,43094.66667,32334.15119,80399.34133
1617480000,43390.81675,50234.05328,86807.52356,48837.28291,56069.12943,35754.45949,48535.22623,30779.42038,45469.02256,30112.82544,69710.11205
1617566400,41777.9959,52989.89921,85223.05263,48767.85197,58851.26849,38496.37004,47390.61228,35457.90724,50724.45455,32235.17258,56600.8339
1617652800,44556.17682,54960.87753,76488.22069,49015.55253,62209.27015,37914.43405,56514.46193,37127.07959,48030.76566,29785.74002,65358.03865
1617739200,48116.18876,63655.51286,77349.66667,56369.05863,65901.2516,30653.68032,57714.2268,31590.07692,51826.44804,31455.61379,49498.6315
1617825600,47796.82004,68857.42448,97341.27105,60410.39843,51094.17305,27178.7981,64247.31122,37183.90584,47128.61017,31742.00804,65558.65894
1617912000,46074.23395,60275.91335,76041.14159,56721.75286,44736.46827,43140.83051,62756.17165,34244.60849,45348.63584,30977.54654,53406.9323
1617998400,39487.82156,44922.14343,102692.9553,58723.20696,49492.91311,43837.26309,52936.81297,29021.87489,39656.26631,33105.98197,67676.41531
1618088400,42659.82304,73173.08215,108916.3119,44960.52891,61112.6985,45105.96273,60088.87727,35343.17419,45801.50475,31481.81866,60621.41553
1618171200,40457.12628,81240.85185,99629.6214,50506.77476,61436.32438,56275.49705,62659.88746,35308.05942,42849.32534,33276.18168,70463.37188
1618261200,45055.06623,73883.03577,121303.7601,49781.39593,49059.21437,37456.64475,61646.08183,44632.89067,37955.66213,30916.70324,46516.06574
1618347600,47014.91412,78521.43523,100614.9058,72162.20804,60022.47002,50721.72702,81150.21852,47083.60898,56020.44425,44388.63558,55419.67593
1618430400,48302.63929,82065.77778,103892.3572,80229.0965,55108.56657,41186.94109,92615.77958,62564.57934,54052.25562,53881.88172,45081.36357
1618516800,50127.33289,92954.00934,90685.12091,80494.63064,55723.23911,43291.15987,92325.61936,54670.58505,56795.94683,58872.37767,52419.00834
1618603200,48855.04484,91660.40934,109014.2284,77195.72285,47239.92874,38207.53591,89247.10408,64109.6081,47900.12987,50002.32793,45515.07407
1618689600,44889.47591,87935.99454,84261.33383,73093.01634,45490.2322,51957.25473,80080.29307,51754.29104,52502.62931,39369.4412,49066.3241
1618776000,53264.12729,101622.8744,86308.98398,79322.36515,43960.54916,55097.00395,92813.96753,68142.70486,63553.21713,51429.45265,60647.2562
1618862400,52075.48514,98999.65147,90029.46405,84596.86258,50102.45976,41737.06788,91472.38948,66868.89564,70807.95472,54482.64341,62404.15663
1618948800,54981.47505,97326.41336,108600.4352,81774.45682,51911.44101,45620.75252,97995.3734,74739.31822,68317.96198,58542.28382,59902.84622
1619035200,61878.51573,101493.6189,95905.07029,86019.52164,49919.0073,53835.32801,101239.2283,67989.1193,65860.3467,57571.62614,60311.60331
1619121600,63082.03676,106115.6098,79854.29588,92240.85418,51110.70938,47811.96832,100103.2589,79763.12034,69432.59474,59687.86686,58778.47872
1619208000,59984.24232,100092.5043,97427.53232,82565.54518,51117.73923,50552.22054,101111.5649,71398.65367,62112.25747,59359.46104,71584.21358
1619316000,62420.98228,110621.1023,86052.3535,84973.64521,64962.66036,53271.54858,104788.5785,91675.79103,64660.55486,60529.04601,65777.47705
1619380800,62301.71181,104015.8849,86590.76879,85839.34075,77852.18979,58177.38002,103657.0174,98447.21394,71864.5712,65843.27221,77969.42377
1619467200,60232.83482,110010.9326,86680.39645,96409.27085,67049.82528,36455.83923,104679.9096,84276.00674,67149.30079,64879.58316,70408.35102
1619553600,63632.43767,113521.5562,97326.15613,99637.52904,69680.96496,42758.8393,107005.2096,85154.46176,74268.28438,64530.029,73137.17377
1619640000,66419.93929,104334.4335,91613.93799,98669.98496,62028.57963,40321.00879,107965.4406,88203.89313,61401.88795,62211.48671,67948.23534
1619726400,66659.1692,107573.1769,95322.27839,99070.42611,64037.18559,44919.21074,106007.9151,75995.49763,74577.9421,63958.35332,74048.01731
1619823600,60771.7765,106864.6441,115955.7031,93340.12994,65256.32323,50550.63891,100333.9761,77063.50786,74186.1712,63773.45221,84766.90504
1619899200,60771.7765,106864.6441,115955.7031,93340.12994,65256.32323,50550.63891,100333.9761,77063.50786,74186.1712,63773.45221,84766.90504
1619989200,56286.23197,101105.6249,98192.73782,72395.80573,47020.70344,39587.73086,93262.1364,63419.36547,60519.53905,54528.54946,61003.41497
1620072000,52805.05626,90452.46332,133632.896,80572.8973,64624.18961,45068.87102,95115.95738,63293.17409,56657.69538,54218.81058,61350.04145
1620158400,68882.91967,117706.6271,127383.9072,98850.43266,68837.40215,60370.1369,111287.2235,83446.08213,76405.06145,68310.96929,87420.30532
1620244800,67882.64612,104146.9053,99003.41871,105388.616,66832.82698,56436.71192,111431.3115,96548.09091,75884.53085,66291.10909,77901.27132
1620331200,67477.99585,100104.1106,102030.6995,102867.0399,69957.88778,60338.69534,105857.0526,81219.79377,72449.02241,66890.82244,85819.43393
1620417600,67355.09858,109469.9823,98328.69571,93728.87943,71694.47549,61708.64307,104429.6659,71428.86251,66730.70082,62299.62911,66269.264
1620504000,61911.67143,119795.9115,90150.55,91510.90487,80904.90199,67954.1476,107491.1023,66022.03296,80965.98908,66147.83011,68207.79751
1620590400,60191.15925,119820.6405,100466.8556,90875.5053,92489.75124,65741.92578,113808.6688,76187.96869,73510.85123,63800.12006,74737.55973
1620676800,57810.52628,119650.4223,106032.3731,90579.47904,76770.68459,64151.12013,109815.3086,81180.66667,72389.38777,62935.16171,63607.5654
1620763200,69786.95288,122183.7654,111410.2934,109248.8061,70755.91756,57620.08964,116226.4341,77757.01732,80068.46233,68811.73462,74062.24358
1620849600,67156.00557,117302.8802,105116.5506,105860.8448,73367.12915,50291.37776,111329.474,78704.42829,69416.94201,68612.55227,60882.5589
1620936000,64281.31312,113062.9538,100048.2951,104374.362,82669.77169,43077.87847,108768.7842,72926.05103,78287.17247,66262.40492,65275.82738
1621022400,60211.70127,109908.4082,106725.0874,97342.7576,78521.32505,44199.51806,108999.5121,66757.86385,72005.5,59618.29297,61928.32115
1621108800,58009.58925,116892.2631,90924.37897,100582.7791,81631.09568,55904.165,107683.6651,62972.98259,76455.31537,58626.25641,75243.23739
1621195200,57168.9039,115377.676,92738.10957,94978.70546,79851.73523,54025.29057,108678.9388,69195.78606,76977.36905,60304.98263,73300.91867
1621281600,56345.5149,94118.00164,104617.8039,84654.55357,72463.42093,33724.37778,94292.02562,57652.45137,62488.39068,52741.76518,62521.68363
1621368000,60791.62662,96626.81143,112401.3824,96979.82786,72340.15662,36050.88407,103293.3249,64946.92683,67194.26011,59647.29956,69915.01056
1621454400,60351.49554,96787.14389,97136.92894,96350.50885,56725.86286,37695.89521,104405.9002,63885.60758,60321.98698,56595.6385,63081.86221
1621540800,49104.34209,97105.07952,83656.68477,85283.15302,59450.30939,36727.15461,92558.91279,40458.42816,64378.42244,49541.91774,61193.44925
